epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2525,1.73575,2.88192,0.0088,0.02715,0.59546,0.23775,0.13385,1.48769,3.01525,0.01093,0.0004,0.0004,0.0004
2,86.9293,1.44833,2.07643,0.00695,0.8052,0.21203,0.39977,0.22514,1.37981,2.78932,0.0101,0.000811882,0.000811882,0.000811882
3,101.118,1.46277,1.74203,0.00695,0.90357,0.26206,0.62178,0.37504,1.33229,2.4135,0.01004,0.00121545,0.00121545,0.00121545
4,114.486,1.47842,1.54806,0.00695,0.79141,0.54056,0.70966,0.41874,1.38078,1.8776,0.0106,0.0016107,0.0016107,0.0016107
5,127.993,1.4593,1.40382,0.0071,0.72821,0.57267,0.66434,0.34404,1.54157,1.79276,0.01247,0.0019208,0.0019208,0.0019208
6,140.89,1.45292,1.31004,0.007,0.73491,0.63846,0.72942,0.44217,1.4053,1.32515,0.01108,0.001901,0.001901,0.001901
7,154.172,1.48072,1.25994,0.00697,0.74724,0.67433,0.75715,0.45124,1.40455,1.22723,0.01083,0.0018812,0.0018812,0.0018812
8,167.286,1.4312,1.17989,0.007,0.77012,0.68691,0.77762,0.47892,1.34801,1.09433,0.01023,0.0018614,0.0018614,0.0018614
9,180.051,1.45238,1.16079,0.00682,0.76754,0.699,0.78879,0.4731,1.36326,1.07483,0.01041,0.0018416,0.0018416,0.0018416
10,192.976,1.42448,1.12073,0.0069,0.78802,0.69791,0.79239,0.47845,1.36333,1.12385,0.01026,0.0018218,0.0018218,0.0018218
11,205.917,1.40914,1.08572,0.0068,0.79696,0.70233,0.80004,0.50369,1.33833,1.07509,0.00995,0.001802,0.001802,0.001802
12,219.258,1.40759,1.06568,0.00687,0.79235,0.71168,0.80642,0.49875,1.37558,1.0326,0.01033,0.0017822,0.0017822,0.0017822
13,232.429,1.38583,1.04717,0.00673,0.80461,0.70748,0.81174,0.50353,1.37552,0.99405,0.01065,0.0017624,0.0017624,0.0017624
14,245.214,1.38822,1.03878,0.00661,0.80485,0.71555,0.81144,0.50438,1.37006,1.02896,0.01048,0.0017426,0.0017426,0.0017426
15,258.639,1.39793,1.01736,0.00654,0.80687,0.71089,0.81078,0.49233,1.44008,1.00107,0.0109,0.0017228,0.0017228,0.0017228
16,270.497,1.3796,0.98813,0.00657,0.80061,0.72487,0.82408,0.52714,1.27966,0.97124,0.00941,0.001703,0.001703,0.001703
17,283.304,1.37186,0.99479,0.00636,0.81022,0.73397,0.83034,0.52305,1.31491,0.99473,0.01006,0.0016832,0.0016832,0.0016832
18,296.927,1.39953,1.00236,0.00663,0.81554,0.71346,0.82134,0.52403,1.31461,0.973,0.00986,0.0016634,0.0016634,0.0016634
19,309.465,1.38261,0.98161,0.00651,0.82393,0.71485,0.81901,0.52603,1.31519,1.00026,0.01011,0.0016436,0.0016436,0.0016436
20,322.787,1.39587,0.99349,0.00643,0.81003,0.72875,0.82659,0.52915,1.32381,0.96477,0.01014,0.0016238,0.0016238,0.0016238
